Year,Number of foundation models,Geographic area
2021.0,3,European Union and United Kingdom
2022.0,12,European Union and United Kingdom
2023.0,15,European Union and United Kingdom
2021.0,4,China
2022.0,6,China
2023.0,20,China
2019.0,4,United States
2020.0,2,United States
2021.0,16,United States
2022.0,51,United States
2023.0,109,United States
