Total investment (in billions of U.S. dollars),Geographic area
0.36,Spain
0.37,Australia
0.41,United Arab Emirates
0.68,Japan
1.14,Singapore
1.39,India
1.39,South Korea
1.52,Israel
1.61,Canada
1.69,France
1.89,Sweden
1.91,Germany
3.78,United Kingdom
7.76,China
67.22,United States
